06-23 10:15:38.567 192.168.86.130:54321  9660   #r thread INFO: ----- H2O started  -----
06-23 10:15:38.582 192.168.86.130:54321  9660   #r thread INFO: Build git branch: michalk-bueno
06-23 10:15:38.582 192.168.86.130:54321  9660   #r thread INFO: Build git hash: e322f0d8ae1bbc8072ec026021aef9d3c86e4add
06-23 10:15:38.583 192.168.86.130:54321  9660   #r thread INFO: Build git describe: jenkins-3.12.0.1-6-ge322f0d
06-23 10:15:38.583 192.168.86.130:54321  9660   #r thread INFO: Build project version: 3.10.5.1 (latest version: 3.10.5.2)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Build age: 13 days
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Built by: 'jenkins'
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Built on: '2017-06-09 18:24:24'
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Watchdog Build git branch: (unknown)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Watchdog Build git hash: (unknown)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Watchdog Build git describe: (unknown)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Watchdog Build project version: (unknown)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Watchdog Built by: (unknown)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Watchdog Built on: (unknown)
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Processed H2O arguments: [-name, sparkling-water-andrea_local-1498238134638, -ga_opt_out, -log_level, INFO, -baseport, 54321, -ip, 192.168.86.130, -log_dir, /home/andrea/IdeaProjects/h20prova/h2ologs/local-1498238134638]
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Java availableProcessors: 1
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Java heap totalMemory: 121.9 MB
06-23 10:15:38.584 192.168.86.130:54321  9660   #r thread INFO: Java heap maxMemory: 1.88 GB
06-23 10:15:38.586 192.168.86.130:54321  9660   #r thread INFO: Java version: Java 1.8.0_131 (from Oracle Corporation)
06-23 10:15:38.587 192.168.86.130:54321  9660   #r thread INFO: JVM launch parameters: [-javaagent:/home/andrea/idea-IU-171.3780.107/lib/idea_rt.jar=34987:/home/andrea/idea-IU-171.3780.107/bin, -Dfile.encoding=UTF-8]
06-23 10:15:38.587 192.168.86.130:54321  9660   #r thread INFO: OS version: Linux 4.8.0-56-generic (amd64)
06-23 10:15:38.587 192.168.86.130:54321  9660   #r thread INFO: Machine physical memory: 7.78 GB
06-23 10:15:38.588 192.168.86.130:54321  9660   #r thread INFO: X-h2o-cluster-id: 1498238135247
06-23 10:15:38.588 192.168.86.130:54321  9660   #r thread INFO: User name: 'andrea'
06-23 10:15:38.588 192.168.86.130:54321  9660   #r thread INFO: Opted out of sending usage metrics.
06-23 10:15:38.588 192.168.86.130:54321  9660   #r thread INFO: IPv6 stack selected: false
06-23 10:15:38.589 192.168.86.130:54321  9660   #r thread INFO: Possible IP Address: ens33 (ens33), fe80:0:0:0:3c5d:188:4945:7912%ens33
06-23 10:15:38.589 192.168.86.130:54321  9660   #r thread INFO: Possible IP Address: ens33 (ens33), 192.168.86.130
06-23 10:15:38.590 192.168.86.130:54321  9660   #r thread INFO: Possible IP Address: lo (lo), 0:0:0:0:0:0:0:1%lo
06-23 10:15:38.591 192.168.86.130:54321  9660   #r thread INFO: Possible IP Address: lo (lo), 127.0.0.1
06-23 10:15:38.591 192.168.86.130:54321  9660   #r thread INFO: H2O node running in unencrypted mode.
06-23 10:15:38.606 192.168.86.130:54321  9660   #r thread INFO: Internal communication uses port: 54322
06-23 10:15:38.606 192.168.86.130:54321  9660   #r thread INFO: Listening for HTTP and REST traffic on http://192.168.86.130:54321/
